GOP,layer, Y-PSNR, bits
146,6,34.039,66502
146,7,35.570,81207
146,8,37.058,93727
147,1,28.024,38675
147,2,29.097,19978
147,3,30.338,29543
147,4,31.686,38332
147,5,32.918,45408
147,6,34.334,57914
147,7,35.861,70385
147,8,37.318,80442
148,1,27.536,78172
148,2,28.302,33394
148,3,29.367,54919
148,4,30.587,75613
148,5,31.792,92943
148,6,33.087,118601
148,7,34.504,144439
148,8,35.967,170015
149,1,27.371,79017
149,2,28.050,37187
149,3,29.102,62476
149,4,30.265,85745
149,5,31.418,104884
149,6,32.677,136162
149,7,34.027,164238
149,8,35.467,198271
150,1,27.486,69798
150,2,28.191,34668
150,3,29.231,57802
150,4,30.390,79503
150,5,31.536,97798
150,6,32.763,125771
150,7,34.085,152728
150,8,35.494,185043
151,1,27.705,62980
151,2,28.401,31713
151,3,29.449,53593
151,4,30.582,73331
151,5,31.693,89906
151,6,32.894,117141
151,7,34.177,143112
151,8,35.532,174206
152,1,27.884,63508
152,2,28.693,29513
152,3,29.783,47785
152,4,30.965,63328
152,5,32.092,76934
152,6,33.355,99433
152,7,34.709,120771
152,8,36.079,142515
153,1,28.093,40748
153,2,29.117,17332
153,3,30.325,26547
153,4,31.649,33960
153,5,32.872,39420
153,6,34.375,50597
153,7,35.985,60343
153,8,37.500,66226
154,1,27.859,54005
154,2,28.856,22452
154,3,30.051,33529
154,4,31.410,44209
154,5,32.677,50879
154,6,34.173,62844
154,7,35.798,73771
154,8,37.341,80406
155,1,27.839,58383
155,2,28.819,23520
155,3,30.011,36136
155,4,31.371,47000
155,5,32.647,54957
155,6,34.105,66522
155,7,35.738,79645
155,8,37.282,85931
156,1,27.934,55506
156,2,28.914,22727
156,3,30.098,34788
156,4,31.436,45439
156,5,32.710,53419
156,6,34.175,65787
156,7,35.784,77603
156,8,37.306,85702
157,1,28.154,43839
157,2,29.160,18356
157,3,30.327,27496
157,4,31.671,36205
157,5,32.924,42677
157,6,34.398,52760
157,7,35.991,63754
157,8,37.502,70220
158,1,27.999,42057
158,2,29.118,18574
158,3,30.329,25767
